,Unnamed: 0,pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
0,0,252,treecko,grass,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['thunder-punch', 'electric'], ['razor-wind', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['slam', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['solar-beam', 'grass'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['mud-sport', 'ground'], ['crush-claw', 'normal'], ['rock-tomb', 'rock'], ['grass-whistle', 'grass'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['assurance', 'dark'], ['fling', 'dark'], ['worry-seed', 'grass'], ['night-slash', 'dark'], ['seed-bomb', 'grass'], ['drain-punch', 'fighting'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['quick-guard', 'fighting'], ['acrobatics', 'flying'], ['grass-pledge', 'grass'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['leafage', 'grass'], ['breaking-swipe', 'dragon'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['upper-hand', 'fighting']]",40,45,35,65,55,70
1,1,253,grovyle,grass,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['thunder-punch', 'electric'], ['swords-dance', 'normal'], ['cut', 'normal'], ['slam', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['solar-beam', 'grass'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['magical-leaf', 'grass'], ['leaf-blade', 'grass'], ['natural-gift', 'normal'], ['assurance', 'dark'], ['fling', 'dark'], ['worry-seed', 'grass'], ['night-slash', 'dark'], ['seed-bomb', 'grass'], ['x-scissor', 'bug'], ['drain-punch', 'fighting'], ['vacuum-wave', 'fighting'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['low-sweep', 'fighting'], ['round', 'normal'], ['quick-guard', 'fighting'], ['acrobatics', 'flying'], ['grass-pledge', 'grass'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['solar-blade', 'grass'], ['leafage', 'grass'], ['breaking-swipe', 'dragon'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['upper-hand', 'fighting']]",50,65,45,85,65,95
2,2,254,sceptile,grass,,"[['pound', 'normal'], ['mega-punch', 'normal'], ['thunder-punch', 'electric'], ['swords-dance', 'normal'], ['cut', 'normal'], ['slam', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['absorb', 'grass'], ['mega-drain', 'grass'], ['leech-seed', 'grass'], ['solar-beam', 'grass'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['outrage', 'dragon'], ['giga-drain', 'grass'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dynamic-punch', 'fighting'], ['dragon-breath', 'dragon'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['dragon-claw', 'dragon'], ['frenzy-plant', 'grass'], ['magical-leaf', 'grass'], ['leaf-blade', 'grass'], ['dragon-dance', 'dragon'], ['natural-gift', 'normal'], ['assurance', 'dark'], ['fling', 'dark'], ['worry-seed', 'grass'], ['night-slash', 'dark'], ['seed-bomb', 'grass'], ['x-scissor', 'bug'], ['dragon-pulse', 'dragon'], ['drain-punch', 'fighting'], ['vacuum-wave', 'fighting'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['rock-climb', 'normal'], ['leaf-storm', 'grass'], ['cross-poison', 'poison'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['hone-claws', 'dark'], ['low-sweep', 'fighting'], ['round', 'normal'], ['quick-guard', 'fighting'], ['acrobatics', 'flying'], ['grass-pledge', 'grass'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['dual-chop', 'dragon'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['solar-blade', 'grass'], ['leafage', 'grass'], ['laser-focus', 'normal'], ['throat-chop', 'dark'], ['brutal-swing', 'dark'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['shed-tail', 'normal'], ['trailblaze', 'grass'], ['dragon-cheer', 'dragon'], ['upper-hand', 'fighting']]",70,85,65,105,85,120
3,3,255,torchic,fire,,"[['mega-punch', 'normal'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['sand-attack', 'ground'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['peck', 'flying'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['mirror-move', 'flying'], ['fire-blast', 'fire'], ['swift', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['baton-pass', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['smelling-salts', 'normal'], ['helping-hand', 'normal'], ['secret-power', 'normal'], ['feather-dance', 'flying'], ['crush-claw', 'normal'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['aerial-ace', 'flying'], ['bounce', 'flying'], ['natural-gift', 'normal'], ['feint', 'normal'], ['assurance', 'dark'], ['last-resort', 'normal'], ['flare-blitz', 'fire'], ['night-slash', 'dark'], ['shadow-claw', 'ghost'], ['defog', 'flying'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['fire-pledge', 'fire'], ['work-up', 'normal'], ['confide', 'normal'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",45,60,40,70,50,45
4,4,256,combusken,fire,fighting,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['sand-attack', 'ground'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['peck', 'flying'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['mirror-move', 'flying'], ['fire-blast', 'fire'], ['swift', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['baton-pass', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['feather-dance', 'flying'], ['blaze-kick', 'fire'], ['crush-claw', 'normal'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['sky-uppercut', 'fighting'], ['aerial-ace', 'flying'], ['bulk-up', 'fighting'], ['bounce', 'flying'], ['natural-gift', 'normal'], ['feint', 'normal'], ['close-combat', 'fighting'], ['assurance', 'dark'], ['fling', 'dark'], ['last-resort', 'normal'], ['flare-blitz', 'fire'], ['poison-jab', 'poison'], ['night-slash', 'dark'], ['vacuum-wave', 'fighting'], ['focus-blast', 'fighting'], ['shadow-claw', 'ghost'], ['defog', 'flying'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['flame-charge', 'fire'], ['low-sweep', 'fighting'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['fire-pledge', 'fire'], ['work-up', 'normal'], ['dual-chop', 'dragon'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['coaching', 'fighting'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",60,85,60,85,60,55
5,5,257,blaziken,fire,fighting,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['sand-attack', 'ground'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['peck', 'flying'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['solar-beam', 'grass'], ['fire-spin', 'fire'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['mirror-move', 'flying'], ['fire-blast', 'fire'], ['swift', 'normal'], ['high-jump-kick', 'fighting'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['baton-pass', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['role-play', 'psychic'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['feather-dance', 'flying'], ['blaze-kick', 'fire'], ['crush-claw', 'normal'], ['blast-burn', 'fire'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['sky-uppercut', 'fighting'], ['aerial-ace', 'flying'], ['bulk-up', 'fighting'], ['bounce', 'flying'], ['natural-gift', 'normal'], ['feint', 'normal'], ['u-turn', 'bug'], ['close-combat', 'fighting'], ['assurance', 'dark'], ['fling', 'dark'], ['last-resort', 'normal'], ['flare-blitz', 'fire'], ['aura-sphere', 'fighting'], ['poison-jab', 'poison'], ['night-slash', 'dark'], ['vacuum-wave', 'fighting'], ['focus-blast', 'fighting'], ['brave-bird', 'flying'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['rock-climb', 'normal'], ['defog', 'flying'], ['stone-edge', 'rock'], ['captivate', 'normal'], ['hone-claws', 'dark'], ['flame-charge', 'fire'], ['low-sweep', 'fighting'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['fire-pledge', 'fire'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['dual-chop', 'dragon'], ['heat-crash', 'fire'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['coaching', 'fighting'], ['scorching-sands', 'ground'], ['tera-blast', 'normal'], ['temper-flare', 'fire'], ['upper-hand', 'fighting']]",80,120,70,110,70,80
6,6,258,mudkip,water,,"[['stomp', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['strength', 'normal'], ['rock-throw', 'rock'], ['dig', 'ground'], ['toxic', 'poison'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['barrier', 'psychic'], ['bide', 'normal'], ['sludge', 'poison'], ['waterfall', 'water'], ['amnesia', 'psychic'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['icy-wind', 'ice'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['mirror-coat', 'psychic'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['superpower', 'fighting'], ['yawn', 'normal'], ['endeavor', 'normal'], ['refresh', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['ice-ball', 'ice'], ['rock-tomb', 'rock'], ['muddy-water', 'water'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['aqua-tail', 'water'], ['earth-power', 'ground'], ['avalanche', 'ice'], ['mud-bomb', 'ground'], ['captivate', 'normal'], ['wide-guard', 'rock'], ['sludge-wave', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['work-up', 'normal'], ['confide', 'normal'], ['liquidation', 'water'], ['tera-blast', 'normal'], ['chilling-water', 'water']]",50,70,50,50,50,40
7,7,259,marshtomp,water,ground,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['stomp', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['rock-throw', 'rock'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['bide', 'normal'], ['sludge', 'poison'], ['waterfall', 'water'], ['amnesia', 'psychic'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['icy-wind', 'ice'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['mirror-coat', 'psychic'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['muddy-water', 'water'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-tail', 'water'], ['earth-power', 'ground'], ['avalanche', 'ice'], ['mud-bomb', 'ground'], ['captivate', 'normal'], ['stealth-rock', 'rock'], ['wide-guard', 'rock'], ['sludge-wave', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['liquidation', 'water'], ['tera-blast', 'normal'], ['chilling-water', 'water']]",70,85,70,60,70,50
8,8,260,swampert,water,ground,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['stomp', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['bite', 'dark'], ['growl', 'normal'], ['roar', 'normal'], ['supersonic', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['rock-throw', 'rock'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['bide', 'normal'], ['sludge', 'poison'], ['waterfall', 'water'], ['amnesia', 'psychic'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['icy-wind', 'ice'], ['outrage', 'dragon'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['mirror-coat', 'psychic'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['brick-break', 'fighting'], ['yawn', 'normal'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['hydro-cannon', 'water'], ['weather-ball', 'normal'], ['rock-tomb', 'rock'], ['sand-tomb', 'ground'], ['muddy-water', 'water'], ['bulk-up', 'fighting'], ['mud-shot', 'ground'], ['water-pulse', 'water'], ['hammer-arm', 'fighting'], ['natural-gift', 'normal'], ['fling', 'dark'], ['poison-jab', 'poison'], ['aqua-tail', 'water'], ['focus-blast', 'fighting'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['mud-bomb', 'ground'], ['rock-climb', 'normal'], ['stone-edge', 'rock'], ['captivate', 'normal'], ['stealth-rock', 'rock'], ['wide-guard', 'rock'], ['smack-down', 'rock'], ['sludge-wave', 'poison'], ['round', 'normal'], ['echoed-voice', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['darkest-lariat', 'dark'], ['high-horsepower', 'ground'], ['stomping-tantrum', 'ground'], ['liquidation', 'water'], ['body-press', 'fighting'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['chilling-water', 'water'], ['hard-press', 'steel']]",100,110,90,85,90,60
9,9,261,poochyena,dark,,"[['sand-attack', 'ground'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['counter', 'fighting'], ['dig', 'ground'], ['toxic', 'poison'], ['mimic', 'normal'], ['double-team', 'normal'], ['rest', 'psychic'], ['super-fang', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['psych-up', 'normal'], ['shadow-ball', 'ghost'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['yawn', 'normal'], ['endeavor', 'normal'], ['snatch', 'dark'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['poison-fang', 'poison'], ['astonish', 'ghost'], ['odor-sleuth', 'normal'], ['howl', 'normal'], ['covet', 'normal'], ['natural-gift', 'normal'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['me-first', 'normal'], ['sucker-punch', 'dark'], ['dark-pulse', 'dark'], ['nasty-plot', 'dark'], ['thunder-fang', 'electric'], ['ice-fang', 'ice'], ['fire-fang', 'fire'], ['captivate', 'normal'], ['foul-play', 'dark'], ['round', 'normal'], ['incinerate', 'fire'], ['retaliate', 'normal'], ['snarl', 'dark'], ['play-rough', 'fairy'], ['confide', 'normal'], ['psychic-fangs', 'psychic'], ['lash-out', 'dark'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",35,55,35,30,30,35
